"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"09/01/2025";"0000";"21,3";"";"";"70,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"0100";"21,1";"";"";"72,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"0200";"20,4";"";"";"77,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"09/01/2025";"0400";"19,6";"";"";"81,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"0500";"18,1";"";"";"85,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"0600";"17,7";"";"";"87,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"0700";"17,4";"";"";"87,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"0800";"17,3";"";"";"88,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"0900";"17,1";"";"";"87,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"1000";"17,4";"";"";"87,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"1100";"19,4";"";"";"78,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"1200";"22,1";"";"";"66,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"1300";"24,3";"";"";"60,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"1400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"09/01/2025";"1500";"26,2";"";"";"58,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"1600";"26,1";"";"";"56,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"1700";"25,4";"";"";"61,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"1800";"24,3";"";"";"65,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2025";"1900";"22,2";"";"";"78,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,7"
"09/01/2025";"2000";"21,7";"";"";"78,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,5"
